"#","Nom","Sigle","Secteur","Pays","Administrateur","Actions"
"1","BOUCHERIE CHARCUTERIE DU LITTORAL","BCL","Consumer markets","Cameroun","Jean Roger DAVID",""
"2","SIPAL","SIPAL","Consumer markets","Cameroun","Jean Roger DAVID",""
"3","PRUDENTIAL BENEFICIAL INSURANCE CAMEROON","PBIC","Insurance","Cameroun","Eddie F. BROWN",""
"4","BGFIBANK CAMEROUN SA","BGFI","Bank","Cameroun","Abakal MAHAMAT",""
"5","NACHTIGAL HYDRO POWER COMPANY","NHPC","ENR - Power & Utilities","Cameroun","Vincent LEROUX",""
"6","PORT AUTONOME DE DOUALA","PAD","Government & public sector","Cameroun","Cyrus NGO'O",""
"7","VISION 4 TELEVISION SA","VISION 4","Technology, media & telecommunications","Cameroun","Jean Pierre AMOUGOU BELINGA",""
"8","LA REGIONALE BANK S.A","REC","Bank","Cameroun","Rev. Charles Rollin OMBANG",""
"9","WEBB FONTAINE GROUP","WFG","Technology, media & telecommunications","Cameroun","Timothy COLLIER",""
"10","EXCO AFRIQUE SENEGAL","EXCO","Other Financial services","Sénégal","MAMADOU SAAR",""
"11","CECEC SA","CECEC","Bank","Cameroun","TCHANKUEGNE DEUDJUI DIDEROT",""
"12","SOCIETE ANONYME DES BOISSONS DU CAMEROUN","SABC","Industrial manufacturing","Cameroun","Stéphane DESCAZEAUD",""
"13","UNION MARITIME AGENCY","UMA","Transport & leisure","Cameroun","KADIN ADEBAYO",""
"14","AFRICA BRIGHT CAPITAL","ABC","Other Financial services","Cameroun","MEHDI CHIFAOUI",""
"15","MEDECINS SANS FRONTIERES","MSF","Miscellaneous","Cameroun","MODESTE KAMAKLOE",""
"16","AIR LIQUIDE CAMEROUN","AIR LIQUID","Other industry","Cameroun","Alain DIBADJO",""
"17","CADYST CONSUMER GROUP","CADYST","Food and Drink","Cameroun","M. TSAFACK",""
"18","SOCOMAR","SOCOMAR","Transport & leisure","Cameroun","M VITALE",""
"19","CIMENCAM","CIMENCAM","Other industry","Cameroun","",""
"20","MTN CAMEROUN","MTN","Technology, media & telecommunications","Cameroun","",""
"21","ENEO CAMEROUN","ENEO","ENR - Power & Utilities","Cameroun","Siegfried DIBONG",""
"22","WAFACASH","WAFACASH","Other Financial services","Cameroun","",""
"23","CANAL +","CANAL +","Private Equity","Cameroun","",""
"24","ADVANS CAMEROUN","ADVANS","Other Financial services","Cameroun","",""
"25","CFAO RETAIL CAMEROUN","CFAO","Infrastructure,  Healthcare","Cameroun","",""
"26","SGS","SGS","Miscellaneous","Cameroun","",""
"27","CAMTEL","CAMTEL","Technology, media & telecommunications","Cameroun","",""
"28","CHANAS ASSURANCES","CHANAS","Insurance","Cameroun","",""
"29","AXA ASSURANCES","AXA","Insurance","Cameroun","",""
"30","ACTIVA ASSURANCES","ACTIVA","Insurance","Cameroun","",""
"31","ALLIANZ CAMEROUN VIE","ALLIANZ","Insurance","Cameroun","",""
"32","ASCOMA ASSURANCE","ASCOMA","Insurance","Cameroun","",""
"33","AFRICA LEASING CAMEROUN","ALC","Miscellaneous","Cameroun","",""
"34","CEGELEC","CEGELEC","Miscellaneous","Cameroun","",""
"35","APM TERMINALS","APM","Miscellaneous","Cameroun","",""
"36","PRODIFOOD'S","PRODIFOODS","Miscellaneous","Cameroun","Jean Roger DAVID",""
"37","CFAO MOBILITY CAMEROON","CFAO","Miscellaneous","Cameroun","",""
"38","DANGOTE CEMENT CAMEROON SA","DANGOTE","Industrial manufacturing","Cameroun","Bertrand MBOUCK",""
"39","EMPLOY GLOBAL","EMPLOY","Miscellaneous","ÎLE MAURICE","FRED TSHIDIMBA",""
"40","MBOKA INDUSTRIAL SERVICES (CAMEROON) SA","MBOKA","Industrial manufacturing","Cameroun","MUKETE BEYONGO DYNAMIC",""
"41","SOCIETE NATIONALE DE RAFFINAGE","SONARA","Energy and Oil & Gas","Cameroun","Jean-Paul SIMO NJONOU",""
"42","CONTINENTAL OIL TRANSPORTATION OPERATING CITERNES SA","COTOC SA","Transport & leisure","Cameroun","THIERRY GHOMSI",""
"43","ASSOCIATION YUMMEN","","Project & NGO","Cameroun","HADJIDJATOU IYAWA OUSMANOU",""
"44","MONSIEUR MBOCK DESIRE GEOFFROY","M. MBOCK","Miscellaneous","Cameroun","M. MBOCK DESIRE GEOFFROY",""
"45","TERMINAL MIXTE FRUITIER DE DOUALA","TMFD","Miscellaneous","Cameroun","",""
"46","SOFOMEUTEX","SOFOMEUTEX","Miscellaneous","Cameroun","",""
"47","PEOPLE KNOWLEDGE SERVICES SARL","PSK SARL","Miscellaneous","Cameroun","PAULINS KETCHATE",""
"48","EOLIS CAMEROUN","EOLIS","Miscellaneous","Cameroun","",""
"49","Y.M TRANSIT","Y.M","Miscellaneous","Cameroun","",""
"50","AFRICA BRIGHT ASSET MANAGEMENT SA","ABAM SA","Other Financial services","Cameroun","MEDHI CHIFAOUI",""
"51","MAÎTRE CHEMOU","MAÎTRE CHE","Miscellaneous","Cameroun","MAÎTRE CHEMOU",""
"52","PROMETAL SA","PROMETAL S","Industrial manufacturing","Cameroun","HAYSSAM EL JAMMAL",""
"53","BOUYGUES ENERGIES & SERVICES CAMEROUN","BOUYGUES","Energy and Oil & Gas","Cameroun","Pierre VANSTOFLEGATTE",""
"54","ALLIANZ CAMEROUN SA","ALLIANZ","Insurance","Cameroun","Olivier MALATRE",""
"55","GULF OF GUINEA INVEST SHIPPING & TRADING","GULFIN","Energy and Oil & Gas","Cameroun","Albert BOUM",""
"56","CFAO TECHNOLOGIES SA","CFAO","Technology, media & telecommunications","Cameroun","Stephane BORDURE-LINDER",""
"57","ASCOMA CAMEROUN SA","ASCOMA","Miscellaneous","Cameroun","Philippe BETI",""
"58","POLYPHARMA SARL","POLYPHARMA","Infrastructure,  Healthcare","Cameroun","Modeste TABOUGUIA",""
"59","ORANGE CAMEROUN SA","ORANGE","Technology, media & telecommunications","Cameroun","Patrick BENON",""
"60","MTN CAMEROUN SA","MTN","Technology, media & telecommunications","Cameroun","Stephen BLEWETT",""
"61","ADDAX PETROLIUM","ADDAX","Energy and Oil & Gas","Cameroun","QU BIN",""
"62","CAMLAIT","CAMLAIT","Food and Drink","Cameroun","Paulin Landry TOUKAM ZUKO",""
"63","CFAO MOBILITY CAMEROON","CFAO","Other industry","Cameroun","Denis ZAPPULLA",""
"64","TRACTAFRIC EQUIPMENT CAMEROUN","","Other industry","Cameroun","Guy STABILE",""
"65","GUINNESS CAMEROUN S.A","GCSA","Industrial manufacturing","Cameroun","Stéphane DESCAZEAUD",""
"66","DHL EXPRESS","DHL","Miscellaneous","Cameroun","Alphonse BEA",""
