ACTION,CLIENT_NAME,IN_DB?,ADMIN,SECTOR,COUNTRY
CREATE,BOUCHERIE CHARCUTERIE DU LITTORAL,NO,Jean Roger DAVID,Consumer markets,Cameroun
CREATE,SIPAL,NO,Jean Roger DAVID,Consumer markets,Cameroun
CREATE,PRUDENTIAL BENEFICIAL INSURANCE CAMEROON,NO,Eddie F. BROWN,Insurance,Cameroun
CREATE,BGFIBANK CAMEROUN SA,NO,Abakal MAHAMAT,Bank,Cameroun
CREATE,NACHTIGAL HYDRO POWER COMPANY,NO,Vincent LEROUX,ENR - Power & Utilities,Cameroun
CREATE,PORT AUTONOME DE DOUALA,NO,Cyrus NGO'O,Government & public sector,Cameroun
CREATE,VISION 4 TELEVISION SA,NO,Jean Pierre AMOUGOU BELINGA,"Technology, media & telecommunications",Cameroun
CREATE,LA REGIONALE BANK S.A,NO,Rev. Charles Rollin OMBANG,Bank,Cameroun
CREATE,WEBB FONTAINE GROUP,NO,Timothy COLLIER,"Technology, media & telecommunications",Cameroun
CREATE,EXCO AFRIQUE SENEGAL,NO,MAMADOU SAAR,Other Financial services,Sénégal
CREATE,CECEC SA,NO,TCHANKUEGNE DEUDJUI DIDEROT,Bank,Cameroun
CREATE,SOCIETE ANONYME DES BOISSONS DU CAMEROUN,NO,Stéphane DESCAZEAUD,Industrial manufacturing,Cameroun
CREATE,UNION MARITIME AGENCY,NO,KADIN ADEBAYO,Transport & leisure,Cameroun
CREATE,AFRICA BRIGHT CAPITAL,NO,MEHDI CHIFAOUI,Other Financial services,Cameroun
CREATE,MEDECINS SANS FRONTIERES,NO,MODESTE KAMAKLOE,Miscellaneous,Cameroun
CREATE,ENEO CAMEROUN,NO,Siegfried DIBONG,ENR - Power & Utilities,Cameroun
SKIP (EXISTS),AXA ASSURANCES,YES,,Insurance,Cameroun
CREATE,PRODIFOOD'S,NO,Jean Roger DAVID,Miscellaneous,Cameroun
CREATE,CFAO MOBILITY CAMEROON,NO,,Miscellaneous,Cameroun
CREATE,DANGOTE CEMENT CAMEROON SA,NO,Bertrand MBOUCK,Industrial manufacturing,Cameroun
CREATE,MBOKA INDUSTRIAL SERVICES (CAMEROON) SA,NO,MUKETE BEYONGO DYNAMIC,Industrial manufacturing,Cameroun
CREATE,CONTINENTAL OIL TRANSPORTATION OPERATING CITERNES SA,NO,THIERRY GHOMSI,Transport & leisure,Cameroun
CREATE,MONSIEUR MBOCK DESIRE GEOFFROY,NO,M. MBOCK DESIRE GEOFFROY,Miscellaneous,Cameroun
CREATE,TERMINAL MIXTE FRUITIER DE DOUALA,NO,,Miscellaneous,Cameroun
CREATE,SOFOMEUTEX,NO,,Miscellaneous,Cameroun
CREATE,PEOPLE KNOWLEDGE SERVICES SARL,NO,PAULINS KETCHATE,Miscellaneous,Cameroun
CREATE,EOLIS CAMEROUN,NO,,Miscellaneous,Cameroun
CREATE,Y.M TRANSIT,NO,,Miscellaneous,Cameroun
CREATE,AFRICA BRIGHT ASSET MANAGEMENT SA,NO,MEDHI CHIFAOUI,Other Financial services,Cameroun
CREATE,MAÎTRE CHEMOU,NO,MAÎTRE CHEMOU,Miscellaneous,Cameroun
CREATE,ORANGE CAMEROUN SA,NO,Patrick BENON,"Technology, media & telecommunications",Cameroun
CREATE,CAMLAIT,NO,Paulin Landry TOUKAM ZUKO,Food and Drink,Cameroun
CREATE,CFAO MOBILITY CAMEROON,NO,Denis ZAPPULLA,Other industry,Cameroun
SKIP (EXISTS),TRACTAFRIC EQUIPMENT CAMEROUN,YES,Guy STABILE,Other industry,Cameroun
CREATE,GUINNESS CAMEROUN S.A,NO,Stéphane DESCAZEAUD,Industrial manufacturing,Cameroun
CREATE,DHL EXPRESS,NO,Alphonse BEA,Miscellaneous,Cameroun
CREATE,LABOREX CAMEROUN SA,NO,Sébastien ROUX,"Infrastructure,  Healthcare",Cameroun
CREATE,COMETAL,NO,Stanislas KOUALA,Industrial manufacturing,Cameroun
CREATE,TRADEX CAMEROUN SA,NO,Simon PALEY,Energy and Oil & Gas,Cameroun
CREATE,GLOBELEQ,NO,Frédéric Didier MVONDO,ENR - Power & Utilities,Cameroun
CREATE,ACCESS BANK PLC,NO,Roosevelt OGBONNA,Bank,Cameroun
CREATE,IHS CAMEROUN SA,NO,,Miscellaneous,Cameroun
CREATE,SOCIETE GENERAL CAMEROUN,NO,,Bank,Cameroun
CREATE,TELCAR COCOA LIMITED,NO,,Miscellaneous,Cameroun
CREATE,AZUR,NO,,Food and Drink,Cameroun
