IMPORT_STATUS,DB_NAME,DB_SIGLE,DB_INDUSTRY,DB_COUNTRY,DB_ADMIN_NAME
VALID,BOUCHERIE CHARCUTERIE DU LITTORAL,BCL,Consumer markets,Cameroun,Jean Roger DAVID
VALID,SIPAL,SIPAL,Consumer markets,Cameroun,Jean Roger DAVID
VALID,PRUDENTIAL BENEFICIAL INSURANCE CAMEROON,PBIC,Insurance,Cameroun,Eddie F. BROWN
VALID,BGFIBANK CAMEROUN SA,BGFI,Bank,Cameroun,Abakal MAHAMAT
VALID,NACHTIGAL HYDRO POWER COMPANY,NHPC,ENR - Power & Utilities,Cameroun,Vincent LEROUX
VALID,PORT AUTONOME DE DOUALA,PAD,Government & public sector,Cameroun,Cyrus NGO'O
VALID,VISION 4 TELEVISION SA,VISION 4,"Technology, media & telecommunications",Cameroun,Jean Pierre AMOUGOU BELINGA
VALID,LA REGIONALE BANK S.A,REC,Bank,Cameroun,Rev. Charles Rollin OMBANG
VALID,WEBB FONTAINE GROUP,WFG,"Technology, media & telecommunications",Cameroun,Timothy COLLIER
VALID,EXCO AFRIQUE SENEGAL,EXCO,Other Financial services,Sénégal,MAMADOU SAAR
VALID,CECEC SA,CECEC,Bank,Cameroun,TCHANKUEGNE DEUDJUI DIDEROT
VALID,SOCIETE ANONYME DES BOISSONS DU CAMEROUN,SABC,Industrial manufacturing,Cameroun,Stéphane DESCAZEAUD
VALID,UNION MARITIME AGENCY,UMA,Transport & leisure,Cameroun,KADIN ADEBAYO
VALID,AFRICA BRIGHT CAPITAL,ABC,Other Financial services,Cameroun,MEHDI CHIFAOUI
VALID,MEDECINS SANS FRONTIERES,MSF,Miscellaneous,Cameroun,MODESTE KAMAKLOE
VALID,AIR LIQUIDE CAMEROUN,AIR LIQUID,Other industry,Cameroun,Alain DIBADJO
VALID,CADYST CONSUMER GROUP,CADYST,Food and Drink,Cameroun,M. TSAFACK
VALID,SOCOMAR,SOCOMAR,Transport & leisure,Cameroun,M VITALE
VALID,CIMENCAM,CIMENCAM,Other industry,Cameroun,
VALID,MTN CAMEROUN,MTN,"Technology, media & telecommunications",Cameroun,
VALID,ENEO CAMEROUN,ENEO,ENR - Power & Utilities,Cameroun,Siegfried DIBONG
VALID,WAFACASH,WAFACASH,Other Financial services,Cameroun,
VALID,CANAL +,CANAL +,Private Equity,Cameroun,
VALID,ADVANS CAMEROUN,ADVANS,Other Financial services,Cameroun,
VALID,CFAO RETAIL CAMEROUN,CFAO,"Infrastructure,  Healthcare",Cameroun,
VALID,SGS,SGS,Miscellaneous,Cameroun,
VALID,CAMTEL,CAMTEL,"Technology, media & telecommunications",Cameroun,
VALID,CHANAS ASSURANCES,CHANAS,Insurance,Cameroun,
VALID,AXA ASSURANCES,AXA,Insurance,Cameroun,
VALID,ACTIVA ASSURANCES,ACTIVA,Insurance,Cameroun,
VALID,ALLIANZ CAMEROUN VIE,ALLIANZ,Insurance,Cameroun,
VALID,ASCOMA ASSURANCE,ASCOMA,Insurance,Cameroun,
VALID,AFRICA LEASING CAMEROUN,ALC,Miscellaneous,Cameroun,
VALID,CEGELEC,CEGELEC,Miscellaneous,Cameroun,
VALID,APM TERMINALS,APM,Miscellaneous,Cameroun,
VALID,PRODIFOOD'S,PRODIFOODS,Miscellaneous,Cameroun,Jean Roger DAVID
VALID,CFAO MOBILITY CAMEROON,CFAO,Miscellaneous,Cameroun,
VALID,DANGOTE CEMENT CAMEROON SA,DANGOTE,Industrial manufacturing,Cameroun,Bertrand MBOUCK
VALID,EMPLOY GLOBAL,EMPLOY,Miscellaneous,ÎLE MAURICE,FRED TSHIDIMBA
VALID,MBOKA INDUSTRIAL SERVICES (CAMEROON) SA,MBOKA,Industrial manufacturing,Cameroun,MUKETE BEYONGO DYNAMIC
VALID,SOCIETE NATIONALE DE RAFFINAGE,SONARA,Energy and Oil & Gas,Cameroun,Jean-Paul SIMO NJONOU
VALID,CONTINENTAL OIL TRANSPORTATION OPERATING CITERNES SA,COTOC SA,Transport & leisure,Cameroun,THIERRY GHOMSI
VALID,ASSOCIATION YUMMEN,,Project & NGO,Cameroun,HADJIDJATOU IYAWA OUSMANOU
VALID,MONSIEUR MBOCK DESIRE GEOFFROY,M. MBOCK,Miscellaneous,Cameroun,M. MBOCK DESIRE GEOFFROY
VALID,TERMINAL MIXTE FRUITIER DE DOUALA,TMFD,Miscellaneous,Cameroun,
VALID,SOFOMEUTEX,SOFOMEUTEX,Miscellaneous,Cameroun,
VALID,PEOPLE KNOWLEDGE SERVICES SARL,PSK SARL,Miscellaneous,Cameroun,PAULINS KETCHATE
VALID,EOLIS CAMEROUN,EOLIS,Miscellaneous,Cameroun,
VALID,Y.M TRANSIT,Y.M,Miscellaneous,Cameroun,
VALID,AFRICA BRIGHT ASSET MANAGEMENT SA,ABAM SA,Other Financial services,Cameroun,MEDHI CHIFAOUI
VALID,MAÎTRE CHEMOU,MAÎTRE CHE,Miscellaneous,Cameroun,MAÎTRE CHEMOU
