ACTION,CLIENT_NAME,ADMIN,SECTOR,COUNTRY
CREATE,BOUCHERIE CHARCUTERIE DU LITTORAL,Jean Roger DAVID,Consumer markets,Cameroun
CREATE,SIPAL,Jean Roger DAVID,Consumer markets,Cameroun
CREATE,PRUDENTIAL BENEFICIAL INSURANCE CAMEROON,Eddie F. BROWN,Insurance,Cameroun
CREATE,BGFIBANK CAMEROUN SA,Abakal MAHAMAT,Bank,Cameroun
CREATE,NACHTIGAL HYDRO POWER COMPANY,Vincent LEROUX,ENR - Power & Utilities,Cameroun
CREATE,PORT AUTONOME DE DOUALA,Cyrus NGO'O,Government & public sector,Cameroun
CREATE,VISION 4 TELEVISION SA,Jean Pierre AMOUGOU BELINGA,"Technology, media & telecommunications",Cameroun
CREATE,LA REGIONALE BANK S.A,Rev. Charles Rollin OMBANG,Bank,Cameroun
CREATE,WEBB FONTAINE GROUP,Timothy COLLIER,"Technology, media & telecommunications",Cameroun
CREATE,EXCO AFRIQUE SENEGAL,MAMADOU SAAR,Other Financial services,Sénégal
CREATE,CECEC SA,TCHANKUEGNE DEUDJUI DIDEROT,Bank,Cameroun
CREATE,SOCIETE ANONYME DES BOISSONS DU CAMEROUN,Stéphane DESCAZEAUD,Industrial manufacturing,Cameroun
CREATE,UNION MARITIME AGENCY,KADIN ADEBAYO,Transport & leisure,Cameroun
CREATE,AFRICA BRIGHT CAPITAL,MEHDI CHIFAOUI,Other Financial services,Cameroun
CREATE,MEDECINS SANS FRONTIERES,MODESTE KAMAKLOE,Miscellaneous,Cameroun
CREATE,AIR LIQUIDE CAMEROUN,Alain DIBADJO,Other industry,Cameroun
CREATE,CADYST CONSUMER GROUP,M. TSAFACK,Food and Drink,Cameroun
CREATE,SOCOMAR,M VITALE,Transport & leisure,Cameroun
CREATE,CIMENCAM,,Other industry,Cameroun
CREATE,MTN CAMEROUN,,"Technology, media & telecommunications",Cameroun
CREATE,ENEO CAMEROUN,Siegfried DIBONG,ENR - Power & Utilities,Cameroun
CREATE,WAFACASH,,Other Financial services,Cameroun
CREATE,CANAL +,,Private Equity,Cameroun
CREATE,ADVANS CAMEROUN,,Other Financial services,Cameroun
CREATE,CFAO RETAIL CAMEROUN,,"Infrastructure,  Healthcare",Cameroun
CREATE,SGS,,Miscellaneous,Cameroun
CREATE,CAMTEL,,"Technology, media & telecommunications",Cameroun
CREATE,CHANAS ASSURANCES,,Insurance,Cameroun
SKIP (EXISTS),AXA ASSURANCES,,Insurance,Cameroun
SKIP (EXISTS),ACTIVA ASSURANCES,,Insurance,Cameroun
CREATE,ALLIANZ CAMEROUN VIE,,Insurance,Cameroun
CREATE,ASCOMA ASSURANCE,,Insurance,Cameroun
CREATE,AFRICA LEASING CAMEROUN,,Miscellaneous,Cameroun
CREATE,CEGELEC,,Miscellaneous,Cameroun
CREATE,APM TERMINALS,,Miscellaneous,Cameroun
CREATE,PRODIFOOD'S,Jean Roger DAVID,Miscellaneous,Cameroun
CREATE,CFAO MOBILITY CAMEROON,,Miscellaneous,Cameroun
CREATE,DANGOTE CEMENT CAMEROON SA,Bertrand MBOUCK,Industrial manufacturing,Cameroun
CREATE,EMPLOY GLOBAL,FRED TSHIDIMBA,Miscellaneous,ÎLE MAURICE
CREATE,MBOKA INDUSTRIAL SERVICES (CAMEROON) SA,MUKETE BEYONGO DYNAMIC,Industrial manufacturing,Cameroun
CREATE,SOCIETE NATIONALE DE RAFFINAGE,Jean-Paul SIMO NJONOU,Energy and Oil & Gas,Cameroun
CREATE,CONTINENTAL OIL TRANSPORTATION OPERATING CITERNES SA,THIERRY GHOMSI,Transport & leisure,Cameroun
CREATE,ASSOCIATION YUMMEN,HADJIDJATOU IYAWA OUSMANOU,Project & NGO,Cameroun
CREATE,MONSIEUR MBOCK DESIRE GEOFFROY,M. MBOCK DESIRE GEOFFROY,Miscellaneous,Cameroun
CREATE,TERMINAL MIXTE FRUITIER DE DOUALA,,Miscellaneous,Cameroun
CREATE,SOFOMEUTEX,,Miscellaneous,Cameroun
