TYPE,ACTIVITY_NAME
INTERNAL,Promotion
INTERNAL,R‚daction de Propositions
INTERNAL,Formations
INTERNAL,Administration
INTERNAL,Cong‚s
INTERNAL,Autres Temps Disponibles
INTERNAL,Risk Management
INTERNAL,Planification
INTERNAL,Ressources Humaines
INTERNAL,Information Technology
INTERNAL,F‚ri‚s
INTERNAL,Absence Autoris‚e
INTERNAL,Prospection et d‚veloppement du portefeuille client
INTERNAL,Cotation et n‚gociation des offres d?assurances
INTERNAL,Conseil et accompagnement client
INTERNAL,Gestion administrative
INTERNAL,Gestion des contrats d?assurances
INTERNAL,Suivi et gestion des sinistres
INTERNAL,Production d?assurances
INTERNAL,Activit‚s inter BU/GROUP
INTERNAL,Recrutement
INTERNAL,Travaux Inter BU / GROUP
INTERNAL,Voyages
INTERNAL,"SITES WEB ( mises … jour, control, s‚curit‚ et conceptions)"
INTERNAL,"R‚seaux sociaux (booste, publication, control des commentaires et messages)"
INTERNAL,Formations et tutos recherches
INTERNAL,Courses et commissions
INTERNAL,Graphisme (Documents internes -  3D -  Vid‚o )
INTERNAL,IT Support
INTERNAL,Maladie
