ID;New Name;New Sigle;Secteur;Administrateur
002d48d9-d80e-472c-bd6d-9cd4fa2db332;ACCESS BANK PLC;ACCESS;Bank;Roosevelt OGBONNA
590d2f21-d1fb-4a1b-a669-d107676dcb65;ADIALEA CAMEROUN S.A;ADIALEA;Miscellaneous;
6800521b-d610-4d10-9791-055de88ac662;AMT CAMEROUN S.A;AMT;Miscellaneous;Marcel BUERGI
8245873a-38c1-4ab0-8413-3f41b048b258;AFRICA BRIGHT ASSET MANAGEMENT SA;ABAM SA;Other Financial services;MEDHI CHIFAOUI
9983320a-bf4b-46b3-ad88-9c3744553ecc;AFRICA BRIGHT SECURITIES SA;ABS S.A;Other Financial services;
7d008da7-0fc9-41d1-93cb-95e15810bf87;AFRICA VISION DEVELOPMENT SARL;AVD;Miscellaneous;
25c5c580-ef42-4988-850d-214e136338a2;AGROLOGISTIK SARL;AGROLOGISTIK;Food and Drink;NGUEN III Georges Ronald
056c9ef1-9934-44c2-b3ed-0949ecff9c13;AMT CAMEROUN S.A;AMT;Miscellaneous;Marcel BUERGI
c1ef5bf1-bede-49cf-b30b-13edfbb6080d;ATTIJARI SECURITIES CENTRAL AFRICA;ASCA;Bank;
5259f57b-becb-4f5d-b732-a86cade7ab66;AZA Finance;EXE TRANSF;Bank;
527a49f1-8089-46b4-8188-340ff6e6e474;BEST WIN S.A;BEST WIN;Other Financial services;
82f92e30-b14d-4c30-af30-1d8b33361c96;BRIGHT POINT LOGISTICS SARL;BRIGHT;Transport & leisure;
f1580fae-6438-433a-b278-18499ae27545;CAMEROON INTERNATIONALE TRADE SARL;CIT;Consumer markets;ABDOUL Karim GNAGUELE
4dbba8ca-0654-4559-be07-8269352653e3;CAMEROON INTERNATIONALE TRADE SARL;CIT;Consumer markets;ABDOUL Karim GNAGUELE
73c2ea16-673d-4bcf-854f-40623bdc9e2d;CAMFISH;CAMFISH;Climate change/Water;EKENE BODO Cyrille
b8592e2b-628d-4d34-9c9d-95ac9d9a5959;CAMLAIT;CAMLAIT;Food and Drink;Paulin Landry TOUKAM ZUKO
