Division;Date Insertion;Client;Opportunite;Type;Initiative;cout;% probabilité Succès;Date Dernière action;Date prochaine action;Commentaires;Statut;Source;Pays;Secteur;Responsable;Associe;Date Limite Soumission;Date Reception AO;Confidentiel;Nouveau Client;Contact du Client;Net fees prob.
Audit;10/06/2022;SIPAL;Commissariat aux comptes;Autre;Initiative Interne;2 200 000;80%;04/06/2022;;Lettre de mission transmises au client;4-Win;;Cameroun;CIM;Jean-Noel SONSANG;Emile Bitoungui;;;Non;Oui;696476959;0
Audit;10/06/2022;BCL;BCL Commissariat aux comptes;Autre;Initiative Interne;2 200 000;80%;04/06/2022;;Lettres de missions transmises aux clients;4-Win;;Cameroun;CIM;Samira Vindjedou;Emile Bitoungui;;;Non;Oui;696 476 959;0
Assistance Comptable et Révision (ACR);10/06/2022;PAD;Revue du traitement comptable et fiscale des immobilisations réalisées pour le compte de l'Etat;Autre;Initiative Interne;16 500 000;80%;03/06/2022;;Proposition de service en revue;3-Proposed;;Cameroun;IGH-GPS;Jean-Noel SONSANG;Emile Bitoungui;;;Non;Non;;13 200 000
Tax;12/06/2022;SABC;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;28/03/2022;;Non abouti;5-Loss;DRH;Cameroun;CIM-OI;Alvine Aoum;Emile Bitoungui;;;Non;Non;Mme BOUM;0
Tax;12/06/2022;AIR LIQUID;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;31/03/2022;;Non abouti;5-Loss;;Cameroun;CIM-OI;Admin Ebvision;Admin Ebvision;;;Non;Non;Alain DIBADJO;0
Tax;12/06/2022;CADYST;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;31/03/2022;;Still awaiting;2-Contacted;DAF;Cameroun;CIM;Alvine Aoum;Emile Bitoungui;;;Non;Non;;0
Tax;12/06/2022;SOCOMAR;Finalisation de la procédure de dématérialisation des titres;Autre;Initiative Interne;0;50%;27/05/2022;;Still awaiting;2-Contacted;DG;Cameroun;IGH-T&L;Alvine Aoum;Emile Bitoungui;;;Non;Non;M VITALE;0
Tax;12/06/2022;CIMENCAM;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;31/05/2022;;Still awaiting;2-Contacted;DRH;Cameroun;CIM-OI;Alvine Aoum;Emile Bitoungui;;;Non;Non;;0
Tax;12/06/2022;MTN;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;;;Still awaiting;2-Contacted;DRH;Cameroun;TMT;Alvine Aoum;Emile Bitoungui;;;Non;Non;;0
Tax;12/06/2022;ENEO;Assistance à la souscription des déclarations de revenus (IRPP);Autre;Initiative Interne;0;30%;;;Still awaiting;2-Contacted;DRH;Cameroun;ENR-P&U;Alvine Aoum;Emile Bitoungui;;;Non;Non;;0
