id;nom;code;description;business_unit_id;statut;created_at;updated_at;responsable_principal_id;responsable_adjoint_id
6b8a0334-f282-4e5f-bd3e-2f948ab11bd4;Direction Générale;DIV6b8a03;Division par défaut de la business unit Direction Générale;0753b7de-90ab-447e-bb0e-900bc89a1173;ACTIF;Mon Nov 24 2025 16:18:03 GMT-0500 (UTC−05:00);Mon Nov 24 2025 16:18:03 GMT-0500 (UTC−05:00);;
8687238a-1a6f-4eae-bf63-0c1985c277dd;EB - AUDIT;DIV868723;Division par défaut de la business unit EB - AUDIT;67ae65c9-4fca-41d4-a7f0-2fce163b66d5;ACTIF;Mon Nov 24 2025 16:18:31 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:05:23 GMT-0500 (UTC−05:00);1a7ef409-a360-490b-ba12-17de286e0ed1;
2a1850ba-f738-405b-87ab-3cde49a7cfd2;EB Service;ES;eb service;d331bcd5-d287-4dfc-bc14-b26b42af187d;ACTIF;Tue Nov 25 2025 03:32:32 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:03:48 GMT-0500 (UTC−05:00);223fa532-582f-43f7-afb9-e62f3ca773b2;
93c28bf4-c805-496d-ac3e-e3c4bed64b5b;EB-DOUANE;DIV93c28b;Division par défaut de la business unit EB-DOUANE;d331bcd5-d287-4dfc-bc14-b26b42af187d;ACTIF;Tue Nov 25 2025 03:15:48 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:04:04 GMT-0500 (UTC−05:00);0acb1517-6324-4145-bde1-dd4469968c0f;
5e4e5f46-cc94-4221-90da-ceae3a0801c7;EB-RH;DIV5e4e5f;Division par défaut de la business unit EB-RH;8a56d116-9c61-4b4f-9940-379100c1fff0;ACTIF;Tue Nov 25 2025 03:16:32 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:04:19 GMT-0500 (UTC−05:00);0cb8e0c0-e79c-4f3f-ac42-d7ecb52b1adc;
97f4925a-5a9f-4abe-ba77-b75003dec27f;EXFIN EOLIS;DIV97f492;Division par défaut de la business unit EXFIN EOLIS;e84fa617-92a7-4d13-b381-2a9ddd85e6c9;ACTIF;Tue Nov 25 2025 03:16:59 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:04:37 GMT-0500 (UTC−05:00);e397b376-2ca2-4418-a6b1-cf49d0b3684d;
2614ec59-fadb-4c78-ad34-62c1bac92cb5;INFORMATIQUE;IT;informatique;67ae65c9-4fca-41d4-a7f0-2fce163b66d5;ACTIF;Tue Nov 25 2025 03:49:30 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:05:10 GMT-0500 (UTC−05:00);f84174bd-a065-4a88-916c-b08c26cfd242;
1b77321c-8a79-4ec3-977e-2142db814701;show off assurances;DIV1b7732;Division par défaut de la business unit show off assurances;77c01964-b2d8-4975-8f0f-4b846d5804a8;ACTIF;Tue Nov 25 2025 03:16:14 GMT-0500 (UTC−05:00);Thu Nov 27 2025 03:04:49 GMT-0500 (UTC−05:00);bae852e6-6074-4a41-8391-915213139d55;
99044068-3dd1-4624-94ce-7f272d23abb5;Global Legal;T&L-GL01;Global Legal;aa244e38-ccd6-43b7-9486-fe5721e2d12c;ACTIF;Sun Dec 07 2025 20:35:18 GMT-0500 (UTC−05:00);Sun Dec 07 2025 20:35:40 GMT-0500 (UTC−05:00);;
272b9306-bfcc-43e2-a55a-a1ceddba2f5a;Global Tax;T&L-TX01;Global Tax;aa244e38-ccd6-43b7-9486-fe5721e2d12c;ACTIF;Tue Nov 25 2025 03:15:20 GMT-0500 (UTC−05:00);Sun Dec 07 2025 20:37:15 GMT-0500 (UTC−05:00);068b6de3-15e7-44f7-9681-a58629dc6b71;
