id;code;name;description;category;created_at;updated_at;nom;module
fd59eb9b-1492-41f0-995a-f0ccd5f66807;users:update;Modifier des utilisateurs;Permission de modification d'utilisateurs via API;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 23:00:29 GMT-0500 (UTC−05:00);;
f3e0440f-57d2-4af9-8b9c-741a9e18d6ca;users:delete;Supprimer des utilisateurs;Permission de suppression d'utilisateurs via API;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 23:00:29 GMT-0500 (UTC−05:00);;
63347d13-cc2a-44f9-870f-eb7b5dccff48;page.force_reload;Accès à Force Reload;Permission d'accès à la page Force Reload;navigation;Mon Dec 01 2025 17:27:04 GMT-0500 (UTC−05:00);Sat Dec 06 2025 09:41:54 GMT-0500 (UTC−05:00);;
3daf1e75-6f85-4bed-a968-abcbb8954dcb;pays:create;Créer pays;Permission pour create pays;config;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
a8a645cf-61e9-4502-84c3-7bbc165a0178;page.objectives-config;Accès à Configuration des Objectifs;Permission d'accès à la page Configuration des Objectifs;navigation;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
880ec7f4-51c3-406c-915d-acc38293cce3;permission.assign;API - Assigner des permissions;API - Assigner des permissions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
998f8493-4c08-417a-a69a-4891aca6e3ef;api.clients.manage;API - Gestion des clients;API - Gestion des clients;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
74414f0d-3d39-4ab4-927d-7077489abe6e;api.missions.manage;API - Gestion des missions;API - Gestion des missions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
c0917c6b-1a79-433c-96f8-abfd9fef8b5a;api.opportunities.manage;API - Gestion des opportunités;API - Gestion des opportunités;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
8e1a0c79-655c-4ccc-bf8b-842dc65283bb;permission.manage;API - Gestion des permissions;API - Gestion des permissions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
abaf43c8-5c06-4d09-a558-d8c237e81f85;role.manage;API - Gestion des rôles;API - Gestion des rôles;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
d291ee9b-b83f-4c5a-9210-28d43d6d46a7;api.users.manage;API - Gestion des utilisateurs;API - Gestion des utilisateurs;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
6a50d0ca-b5b1-4938-8e5e-fdc4a2d2691a;api.permissions.read;API - Lecture des permissions;API - Lecture des permissions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
1df3964d-0d33-4e64-a9b3-a3352e285b73;permission.revoke;API - Révoquer des permissions;API - Révoquer des permissions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
e0a7e149-6f0b-4020-8af2-4bc2131c18ef;api.permissions.write;API - Écriture des permissions;API - Écriture des permissions;api;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
462e575d-0bd9-4f78-81d3-a6c8f96c5194;page.create_mission_step0;Accès à Création de Mission - Informations Initiales;Permission d'accès à la page Création de Mission - Informations Initiales;navigation;Tue Dec 02 2025 03:13:11 GMT-0500 (UTC−05:00);Sat Dec 06 2025 09:41:54 GMT-0500 (UTC−05:00);;
8002ce19-a2e0-4ea8-8005-4775effaa128;page.create-mission-step1;Accès à Création de Mission - Étape 1;Permission d'accès à la page Création de Mission - Étape 1;navigation;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
5028e219-99db-4c49-bf65-0adaeaa8a3b9;page.create_mission_step1;Accès à Création de Mission - Étape 1;Permission d'accès à la page Création de Mission - Étape 1;navigation;Mon Dec 01 2025 17:27:04 GMT-0500 (UTC−05:00);Sat Dec 06 2025 09:41:54 GMT-0500 (UTC−05:00);;
e998dab0-4aab-4942-8df5-9a14537808ff;analytics:read;Voir analytics;Permission pour read analytics;dashboard;Sun Dec 07 2025 18:12:10 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:10 GMT-0500 (UTC−05:00);;
f5887563-e9e6-462b-bb8d-9dcb55e38a31;page.create_mission_step2;Accès à Création de Mission - Étape 2;Permission d'accès à la page Création de Mission - Étape 2;navigation;Mon Dec 01 2025 17:27:04 GMT-0500 (UTC−05:00);Sat Dec 06 2025 09:41:54 GMT-0500 (UTC−05:00);;
22157064-41bb-4fbf-84da-2d2d5fb33ab0;page.create-mission-step2;Accès à Création de Mission - Étape 2;Permission d'accès à la page Création de Mission - Étape 2;navigation;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
b4d559f9-e1c0-4f84-b697-c17abdb4aaa9;page.create_mission_step3;Accès à Création de Mission - Étape 3;Permission d'accès à la page Création de Mission - Étape 3;navigation;Mon Dec 01 2025 17:27:04 GMT-0500 (UTC−05:00);Sat Dec 06 2025 09:41:54 GMT-0500 (UTC−05:00);;
8d933f34-f46d-44fe-bd86-69847d3d207f;page.create-mission-step3;Accès à Création de Mission - Étape 3;Permission d'accès à la page Création de Mission - Étape 3;navigation;Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);Sun Dec 07 2025 18:12:11 GMT-0500 (UTC−05:00);;
