id;filename;executed_at;checksum
1;001_recreate_time_sheets_tables.sql;Sun Dec 07 2025 18:20:36 GMT-0500 (UTC−05:00);fdc528936774e96d39502672850d0ef3
2;002_fix_time_sheets_missing_columns.sql;Sun Dec 07 2025 18:20:36 GMT-0500 (UTC−05:00);6a5c38243b6dc97afdae725af9a05535
3;003_add_unique_constraint_companies.sql;Sun Dec 07 2025 18:24:12 GMT-0500 (UTC−05:00);52e4f87f79129ad26111a1e9c42a6302
4;004_create_super_admin_audit_log.sql;Sun Dec 07 2025 18:24:12 GMT-0500 (UTC−05:00);d783e04c6d01fe58d28ab914e2d5a3db
9;005_create_sync_tables.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);a458e6593221c85df6d09d01d7fda9e2
10;006_migrate_users_to_multi_roles.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);ddefa9e273ded88f90a581cfa6dce1aa
11;007_add_actif_and_updated_at_to_postes.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);30193f85ce004e9b1011cd029b44b4d2
12;008_create_strategic_objectives_table.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);51486af7d7b785c3723a69df8d02a9b7
13;009_cleanup.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);ddf3674317a7ad7600ed8d6cc24480c9
14;009_full.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);ffb43acc6c3aa47424d5223f9816f790
15;009_refactor_objectives_system.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);277f4531efd90aa0106ba53bc1e2d4f0
16;009_update_objectives_structure.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);cf038eb56899206e38c76acb734fd172
17;010_add_parent_objectives.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);73287b37fee0abbac09793cd84cf0998
18;011_add_fiscal_year_to_child_objectives.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);17272c7d5b1d173ce26bc898f015e3d3
19;012_make_salaire_base_nullable.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);087e48f099e205dc651acfa7cf800171
20;013_add_last_logout_to_users.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);7f0fcd08b92b2533956d520667b2e64b
21;014_create_financial_settings.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);90c3b5d1e5524504f2c4342dee82d2dd
22;015_create_advanced_financial_tables.sql;Sun Dec 07 2025 21:35:23 GMT-0500 (UTC−05:00);3debe0f07f789ff49c3aa911ed7ff61a
