id;stage_template_id;action_type;is_mandatory;validation_order;created_at
d2527a45-bb1d-491f-bcff-e0b9598139b0;a10ba42e-3936-4230-baf8-13c76ff8ac5a;Créer la fiche opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
5f1c6c91-ef8c-44b0-b6ee-67bdb1388df4;a10ba42e-3936-4230-baf8-13c76ff8ac5a;Qualifier rapidement l'intérêt;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9273b65d-1730-4ac4-9e39-c54ac3775f21;d246a382-f477-4aef-8f22-4cea956dea90;Valider BANT;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
dd4481d6-0182-4af2-ada4-1466829b0795;d246a382-f477-4aef-8f22-4cea956dea90;Identifier décideurs;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
11229f38-7605-4733-8cc0-daf3fe5e5582;d246a382-f477-4aef-8f22-4cea956dea90;Estimer budget;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
2c78010d-10b8-499c-9f62-64288573f75f;15f049ca-a9cc-4f3f-bd54-fd63bcd99a04;Rédaction offre;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
5203d075-b779-4e32-b08b-fea2c293a58f;15f049ca-a9cc-4f3f-bd54-fd63bcd99a04;Validation interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
7daffe37-7989-49c4-a933-eefe4cd1e73b;15f049ca-a9cc-4f3f-bd54-fd63bcd99a04;Envoi au client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
086931c9-f803-4075-bcb0-bd94865129e7;430d59ed-86a4-4c6c-be5e-ab42dc528af2;Négociation;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
03e97d5c-5a8d-4d2c-8ffd-b13cf2f416c1;430d59ed-86a4-4c6c-be5e-ab42dc528af2;Alignement interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
13baa120-2200-4f89-9693-3c962502575b;430d59ed-86a4-4c6c-be5e-ab42dc528af2;Validation client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9f4a0808-0b29-4ac8-abfe-83334414477b;47f7099a-f9a0-410d-9c9d-5f4ab6cb6c67;Clôturer opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9ddc69fa-e7f5-4180-97b4-a1a5c51d1050;47f7099a-f9a0-410d-9c9d-5f4ab6cb6c67;Préparer onboarding si gagnée;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
6ec708f8-4838-4e92-b08e-91002c8c221f;f65b8aa6-022b-40fe-bc35-e953b31b2a72;Créer la fiche opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
04fe520d-85e9-4e87-b37f-a017172179b6;f65b8aa6-022b-40fe-bc35-e953b31b2a72;Qualifier rapidement l'intérêt;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
573b7abb-167b-4240-955e-0b10312410f1;c600594f-2950-474b-a92b-b1590453308b;Valider BANT;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
aa4144f3-96a2-41ca-8664-27a2e9690987;c600594f-2950-474b-a92b-b1590453308b;Identifier décideurs;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
0209ee48-fcd3-43a1-911b-189090988a46;c600594f-2950-474b-a92b-b1590453308b;Estimer budget;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
c6a1fad5-112a-41fe-92d2-506b5ee8c361;8438786e-b7ff-463b-9be9-eaa63aa8b6da;Rédaction offre;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
1b2e7b5f-bd2b-4efc-9ef1-2427cd25ef95;8438786e-b7ff-463b-9be9-eaa63aa8b6da;Validation interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
56c84dcf-ed6a-495c-874f-b0ce42af2899;8438786e-b7ff-463b-9be9-eaa63aa8b6da;Envoi au client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9129e827-71a6-4b27-9940-6ab3228209c8;940599a3-44ca-487f-9c7b-1f444b1b7775;Négociation;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
afaee7d9-ddd1-4709-95b6-8ef6cdf422c3;940599a3-44ca-487f-9c7b-1f444b1b7775;Alignement interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
210d6f87-522c-4e74-a6f4-bbe99f352594;940599a3-44ca-487f-9c7b-1f444b1b7775;Validation client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
95e40987-c659-4fc8-9b46-66bff6f95dab;839754fd-55ba-400d-bd62-9840b83e9e14;Clôturer opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
91526350-79a5-4294-b8ef-78926c55fca0;839754fd-55ba-400d-bd62-9840b83e9e14;Préparer onboarding si gagnée;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
168bc9b8-c766-456e-9696-1a1b6c03a4ae;f62fed3c-0e11-4265-b3a1-3d700c64c564;Créer la fiche opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9ece99b9-6274-405a-b42f-42adc4497741;f62fed3c-0e11-4265-b3a1-3d700c64c564;Qualifier rapidement l'intérêt;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
5d49d8b7-9d74-40c3-bb13-ec282b141078;a4a2dbca-f60b-433a-84a9-0ed8b02f2a40;Valider BANT;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9bb07812-6671-4d12-b638-379aecc1d141;a4a2dbca-f60b-433a-84a9-0ed8b02f2a40;Identifier décideurs;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
2a1d6299-4060-48ee-9425-fdc19b42b091;a4a2dbca-f60b-433a-84a9-0ed8b02f2a40;Estimer budget;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
5ac77084-f9fc-4bda-9bbc-6b79418a3aae;630e68a9-17fa-4b89-abd3-c76dd0b13169;Rédaction offre;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
c6e1056d-3309-47b3-baa6-62f62c2c7a2e;630e68a9-17fa-4b89-abd3-c76dd0b13169;Validation interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
a97d3c16-1126-46df-b8b5-42b173dc362e;630e68a9-17fa-4b89-abd3-c76dd0b13169;Envoi au client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
6a6c35c6-cf89-46ad-a163-c038b389aa79;2211a103-4abe-4718-b9f0-f274c3415936;Négociation;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
c80831ca-e197-4d40-89d7-9c86ac970db1;2211a103-4abe-4718-b9f0-f274c3415936;Alignement interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
ccc461e7-c1ac-492b-8852-c25b741ff480;2211a103-4abe-4718-b9f0-f274c3415936;Validation client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
9d72a827-fa19-41c7-8a31-e4ca4afb0fad;680c3901-b977-4dea-919e-601c727cbdef;Clôturer opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
4d82a2fd-2d9b-4b5b-97dd-adcf4a963c45;680c3901-b977-4dea-919e-601c727cbdef;Préparer onboarding si gagnée;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
cd1b1f0d-c1c8-41a7-a889-56727c020337;4505e61b-9aff-402d-b770-662acc85fb23;Créer la fiche opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
02111abf-4a4c-4905-9938-209e00120710;4505e61b-9aff-402d-b770-662acc85fb23;Qualifier rapidement l'intérêt;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
555086b2-1878-48f6-bd2a-1d94a703e683;5e17f89c-034c-4f70-a6b9-ee2f5034109f;Valider BANT;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
7a281034-0f85-47fb-a178-49de56d3cbaa;5e17f89c-034c-4f70-a6b9-ee2f5034109f;Identifier décideurs;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
52f584c0-8076-468f-9b13-449377af6b5d;5e17f89c-034c-4f70-a6b9-ee2f5034109f;Estimer budget;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
284f2fce-51a8-413e-aad4-4d73be92bf8d;97ae2a45-a060-4484-b626-92f4183b2221;Rédaction offre;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
81da995e-fab9-4fd5-8d7e-0f1f7121137e;97ae2a45-a060-4484-b626-92f4183b2221;Validation interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
df015ea0-1aef-4c29-a9f7-5f96554d4127;97ae2a45-a060-4484-b626-92f4183b2221;Envoi au client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
20edc60b-8984-40bd-892d-4eba94950c74;df71b44d-406f-4f8d-9a17-320476d87f5e;Négociation;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
198c2636-14fc-4c3c-975d-c3ee836e5e80;df71b44d-406f-4f8d-9a17-320476d87f5e;Alignement interne;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
cae9d4b5-6dec-47f3-a9b9-d1f001d7d39c;df71b44d-406f-4f8d-9a17-320476d87f5e;Validation client;true;3;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
c6edc4c0-92c2-4429-9635-7322dc4349d5;89fa8150-cd72-43fc-9044-83c33ee77e22;Clôturer opportunité;true;1;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
461e9f54-533f-40d9-9af4-557d8eb0e5b1;89fa8150-cd72-43fc-9044-83c33ee77e22;Préparer onboarding si gagnée;true;2;Mon Dec 08 2025 20:47:49 GMT-0500 (UTC−05:00)
