Mission;Client;Business Unit;Division;Description;Type Mission;Responsable;Manager;Associé
"Assistance à VGC des exercices 2020, 2021 et 2022";"ACCESS BANK PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à VGC des exercices 2020, 2021 et 2022";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance juridique et fiscale permanente";"ACCESS BANK PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"ACCESS BANK PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Revue de la liasse fiscale annuelle (DSF) de l'exercice 2024";"ACCESS BANK PLC";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Revue de la liasse fiscale annuelle (DSF) de l'exercice 2024";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à controle douanier";"ADIALEA CAMEROUN S.A";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance à controle douanier";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance juridique et fiscale permanente";"AFRICA BRIGHT ASSET MANAGEMENT SA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance juridique et fiscale permanente";"AFRICA BRIGHT SECURITIES SA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"AFRICA VISION DEVELOPMENT SARL";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"DEDOUANEMENT D'UN CAMION BENNE SHACMAN";"AGROLOGISTIK SARL";"EB-DOUANE";"EB Service";"Mission migrée (FY25) - DEDOUANEMENT D'UN CAMION BENNE SHACMAN";"PREVIOUS ENGAGEMENT";"Franck Wafeu";"Robert Songo";"Samson Bilangna"
"Assistance à l'élaboration d'un manuel de procédures Douane";"AMT CAMEROUN S.A";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"Assistance à l'élaboration de la DSF rectificative de l'exercice2022 et de la DSF de l'exercice 2023";"AMT CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance à l'élaboration de la DSF rectificative de l'exercice2022 et de la DSF de l'exercice 2023";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Assistance à la recherche de financement";"AMT CAMEROUN S.A";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à la recherche de financement";"PREVIOUS ENGAGEMENT";" N/A";" ";" "
"Assistance à la recherche de financement";"AMT CAMEROUN S.A";"EXFIN EOLIS";"";"Mission migrée (FY25) - Assistance à la recherche de financement";"PREVIOUS ENGAGEMENT";"Salomée Ngomsu";"Jean  Youmbi";"Leopold  Tchako"
"Assistance juridique et fiscale permanente";"AMT CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Assistance juridique et fiscale permanente";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Samson Bilangna"
"Assistance permanente-Douane";"AMT CAMEROUN S.A";"EB-DOUANE";"EB-DOUANE";"Mission migrée (FY25) - Assistance permanente-Douane";"PREVIOUS ENGAGEMENT";"Séraphin Doumbe";"Samson Bilangna";"Samson Bilangna"
"AUDIT DES CREANCES";"AMT CAMEROUN S.A";"EB - AUDIT";"";"Mission migrée (FY25) - AUDIT DES CREANCES";"PREVIOUS ENGAGEMENT";"Alyssa Molom";"Alyssa Molom";"Brian Metuge"
"Commissariat Aux comptes";"AMT CAMEROUN S.A";"EB - AUDIT";"";"Mission migrée (FY25) - Commissariat Aux comptes";"PREVIOUS ENGAGEMENT";"Cyrille Djiki";"Cyrille Djiki";"Brian Metuge"
"DSF & ANALYSE DES COMPTES";"AMT CAMEROUN S.A";"EB - AUDIT";"";"Mission migrée (FY25) - DSF & ANALYSE DES COMPTES";"PREVIOUS ENGAGEMENT";"Alyssa Molom";"Alyssa Molom";"Brian Metuge"
"Mise à disposition et gestion de la paie du personnel détaché près des entités locales d'ADDAX PETROLEUM";"AMT CAMEROUN S.A";"EB-RH";"";"Mission migrée (FY25) - Mise à disposition et gestion de la paie du personnel détaché près des entités locales d'ADDAX PETROLEUM";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"AMT CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Revue de la liasse fiscale annuelle (DSF) de l'exercice 2024";"AMT CAMEROUN S.A";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Revue de la liasse fiscale annuelle (DSF) de l'exercice 2024";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Participation au séminaire de la loi de finances 2025";"ATTIJARI SECURITIES CENTRAL AFRICA";"EB-TAX&LAW";"Global Tax";"Mission migrée (FY25) - Participation au séminaire de la loi de finances 2025";"PREVIOUS ENGAGEMENT";"Ashley Elang ";"Ashley Elang ";"Emile Bitoungui"
"Transfert à l'international";"AZA Finance";"EXFIN EOLIS";"";"Mission migrée (FY25) - Transfert à l'international";"PREVIOUS ENGAGEMENT";"Jean  Youmbi";"Jean  Youmbi";"Leopold  Tchako"
"ASSISTANCE COMPTABLE";"BEST WIN S.A";"EB - AUDIT";"";"Mission migrée (FY25) - ASSISTANCE COMPTABLE";"PREVIOUS ENGAGEMENT";"Cyrille Djiki";"Cyrille Djiki";"Brian Metuge"
