RAISON_SOCIALE;SIGLE;NIU;ACTIVITE_PRINCIPALE;VENTE_BOISSON;REGIME;BOITE_POSTALE;TELEPHONE;FORME_JURIDIQUE;CRI;CENTRE_DE_RATTACHEMENT;REGION_ADMINISTRATIVE;DEPARTEMENT;VILLE;COMMUNE;QUARTIER;LIEUX_DIT;ETATNIU;IDCLASSE_ACTIVITE
African Developpement Foundation;ADF;M119500013115F;Aide au Developpement;NON;HRI;1317;22 21 25 63;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Ekoudou;Ecole de police;Bon NIU;041002
Association pour la Promotion de l Arbitrage et de la Mediation en Afrique;APAMA;M060612420594F;Promotion de l arbitrage;NON;HRI;4683;690 468 687;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;TSINGA;Route CRIC2;Bon NIU;039001
Banque de Développement des Etats de l'Afrique Centrale;BDEAC;M127500009143Z;Banque;NON;HRI;35 289;677 94 32 77             679 53 17 17             222 22 39 03;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre Ville;A côté de l'immeuble Capitole;Bon NIU;036001
Banque des Etats de l Afrique Centrale/Direction Nationale;BEAC/DN;M117200003548N;Emission dela Monnaie;NON;HRI;35 289;694077572;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;A côté de l'immeuble étoile;Bon NIU;036001
Centre Régional de Promotion du Livre en Afrique au Sud du Sahara;CREPLA;M107712469469K;promotion et Exploitation du Livre en afrique;NON;HRI;1 646;22 20 15 08            22 22 44 27            77 46 60 43;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Face Gare Ferroviaire;Bon NIU;040000
Christian Blind Mission;CBM Cameroon;M051312263620X;Aide au pers vivant avec un Handicap;NON;HRI;4018;675  52 07 14            676 22 29 67;op;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Mimboman;Route avant Sapeur Mimbomam;Bon NIU;041002
Commission des Forets d Afrique Centrale;COMIFAC;M090300015722W;Protection de la flore et des Ecosystemes;NON;HRI;20818;222212511;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Nouvelle route Bastos;Bon NIU;003003
Confederation Africaine de Football;CAF;M019700014807B;Gestion de Football;NON;HRI;7380;22 22 27 67;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Omnisport;Derriére AGROPOLES;Bon NIU;042002
Cooperative Surete Nationale;CSN;M066700043736L;Action sociale;NON;HRI;1603;242 66 20 65;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Ecole de Police;A côté hôpital de la Police;Bon NIU;041002
ICIDR/HIRE MALARIA PROJECT;ICIDR/HIRE MALARIA PROJECT;M090300019240F;Santé Publique;NON;HRI;3851;699 28 87 68;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Carrefour IRAD;Bon NIU;041001
MALARIA NO MORE;MALARIA NO MORE;M060900042519W;LUTTE CONTRE LE PALUDISME;NON;HRI;113;222 22 95 52      678 87 30 75;op;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;immeuble blanc;Bon NIU;041001
Plan International Cameroun;PLIC;M099600009248R;DEVELOPPEMENT;NON;HRI;25236;222215458;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Derrière ancien BAT au fond;Bon NIU;041002
Premiere Urgence Aide Medicale Internationale;PU-AMI;M069200033349J;Sante;NON;HRI;20427;696 09 10 97;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Dragage;Vers Ecole Publique;Bon NIU;041001
Sécrétariat National Permanent du Processus de Kimberley;KIMBERLEY PROCESS;M111112244706J;Authentification des Diamants Bruts;NON;HRI;35601;222 22 84 12;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Primature;Bon NIU;043000
World Wide Fund;WWF;M019200010509L;Protection de l'environnement;NON;HRI;6776;699503621;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE1;Bastos;Nouvelle route Bastos;Bon NIU;041002
