RAISON_SOCIALE;SIGLE;NIU;ACTIVITE_PRINCIPALE;VENTE_BOISSON;REGIME;BOITE_POSTALE;TELEPHONE;FORME_JURIDIQUE;CRI;CENTRE_DE_RATTACHEMENT;REGION_ADMINISTRATIVE;DEPARTEMENT;VILLE;COMMUNE;QUARTIER;LIEUX_DIT;ETATNIU;IDCLASSE_ACTIVITE
African Developpement Foundation;ADF;M119500013115F;Aide au Developpement;NON;HRI;1317;22 21 25 63;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Ekoudou;Ecole de police;Bon NIU;041002
Agence  Nationale d’Investigation Financière;ANIF;M050512480315E;Investigation Financière;NON;HRI;6709;99 57 85 35;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Poste centrale;Immeuble  SNI 17 ETAGE;Bon NIU;036003
Agence d’Electrification Rurale;AER;M099900010718L;Régulation de l'électrification rurale;NON;HRI;30 704;22 21 23 84                77 47 60 14                                                     99 99 86;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Descente DGE;Bon NIU;039001
Agence de Promotion des PME;APPME;M041312407579F;Promotion des PME;NON;HRI;35186;22 21 92 96, 696005796;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Tsinga;vers Hotel le Paradis;Bon NIU;038001
Agence de Régulation des Marchés Publics;ARMP;M020100012383S;Régulation des marchés publics;NON;HRI;6 604;22 22 06 08               22 20 18 08               22 20 60 43               99 94 70 76;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Dragages;route de la Presidence;Bon NIU;039001
Agence de Régulation des Télécommunications;ART;M099900009240R;Régulation des télécommunications;NON;HRI;6 132;22 23 03 80              94 01 39 06                    94 01 35 17;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;bastos;Nouvelle route Bastos;Bon NIU;039001
Agence de Régulation du Secteur de l'Electricité;ARSEL;M069900012620A;Régulation du secteur de l'électricité;NON;HRI;6 064;22 21 10 11              22 21 10 16                 77 96 78 48                    77 69 52 73;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Eglise Orthodoxe;Bon NIU;039001
Agence des Normes et de la Qualité;ANOR;M090900034616A;Contrôle des normes et de qualité;NON;HRI;14 966;74 25 59 87              99 96 65 93          22 22 64 96            98 69 20 34;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Vers ELECAM;Bon NIU;038006
Agence du Service Civique National de Participation au Développement;ASCNPD;M121012416448Q;SERVICE CIVIQUE NATIONAL;NON;HRI;33313;6 99 07 59 01                       7;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Essos;Vers Hopital de la CNPS;Bon NIU;041002
Agence National d'Appui au Développement Forestier;ANAFOR;M029000009331F;Contrôle et gestion du développement forestier;NON;HRI;1 341;75 36 92 06                  77 05 05 58                 22 21 53 50             22 21 03 93;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Elig-Essono;Rue CEPER;Bon NIU;039001
Agence National de Recherche sur le SIDA;ANRS;M010500046153K;ACTION Humanitaire;NON;HRI;16237;22 22 11 55/99 50 77 65;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;MESSA;Hopital Central;Bon NIU;042001
Agence Nationale de la Radio Protection;ANRP;M100200026297D;Protection de l'environnement;NON;HRI;33732;97 13 54 65                22 20 33 71;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Ngoa ekellé;Derrière l'EMIA;Bon NIU;041001
Agence Nationale des Technologies de l’Information et de la Communication;ANTIC;M040200028421N;Développement des TIC;NON;HRI;6 170;22 20 39 30  ,679181918;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;A côté Ambassade de la Chine;Bon NIU;035004
Agence pour la Promotion des Investissements;API;M090500040067Q;FACILITATION INVESTISSEMENT;NON;HRI;12 962;699 53 04 00;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Nouvelle route Bastos;Bon NIU;038006
Appui à la Déconcentration et à la Décentralisation des Activités d'Entretien Routier du MINTP;DP Déconcentration;M121111726931D;DECENTRALISATION ACTIVITES ENTRETIEN ROUTIER;NON;HRI;1317;22 22 52 37               99 24 71 83;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Quartier du Lac;MINATD;Bon NIU;039001
Assemblée Nationale;AN;M016000011204N;Législation et contrôle;NON;HRI;6 709;75 88 20 51;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;Face Lycée Leclerc;Bon NIU;039001
Association pour la Promotion de l Arbitrage et de la Mediation en Afrique;APAMA;M060612420594F;Promotion de l arbitrage;NON;HRI;4683;690 468 687;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;TSINGA;Route CRIC2;Bon NIU;039001
Autorité Portuaire Nationale;APN;M129800009667Z;Régualation portuaire;NON;HRI;11 538;22 23 73 16                  6 97 46 61 54            77 65 13 12;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;route derrière immeuble EDC;Bon NIU;039001
Banque Camerounaise des Petites et Moyennes Entreprises S.A;BC-PME S.A;M041312131131N;Banque;NON;HRI;12 962;699 53 04 00                  694 17 87 28;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;A côté MINEFOP;Bon NIU;036001
